date,discharge(cumecs),area(sq km),latitude,longitude
2015-01-01,0.628,175.0,7:17:0N,36:13:0E
2015-01-02,0.628,175.0,7:17:0N,36:13:0E
2015-01-03,0.628,175.0,7:17:0N,36:13:0E
2015-01-04,0.5920000000000001,175.0,7:17:0N,36:13:0E
2015-01-05,0.5920000000000001,175.0,7:17:0N,36:13:0E
2015-01-06,0.5920000000000001,175.0,7:17:0N,36:13:0E
2015-01-07,0.5920000000000001,175.0,7:17:0N,36:13:0E
2015-01-08,0.5920000000000001,175.0,7:17:0N,36:13:0E
2015-01-09,0.556,175.0,7:17:0N,36:13:0E
2015-01-10,0.556,175.0,7:17:0N,36:13:0E
2015-01-11,0.556,175.0,7:17:0N,36:13:0E
2015-01-12,0.556,175.0,7:17:0N,36:13:0E
2015-01-13,0.556,175.0,7:17:0N,36:13:0E
2015-01-14,0.556,175.0,7:17:0N,36:13:0E
2015-01-15,0.556,175.0,7:17:0N,36:13:0E
2015-01-16,0.556,175.0,7:17:0N,36:13:0E
2015-01-17,0.556,175.0,7:17:0N,36:13:0E
2015-01-18,0.556,175.0,7:17:0N,36:13:0E
2015-01-19,0.556,175.0,7:17:0N,36:13:0E
2015-01-20,0.52,175.0,7:17:0N,36:13:0E
2015-01-21,0.52,175.0,7:17:0N,36:13:0E
2015-01-22,0.52,175.0,7:17:0N,36:13:0E
2015-01-23,0.52,175.0,7:17:0N,36:13:0E
2015-01-24,0.52,175.0,7:17:0N,36:13:0E
2015-01-25,0.485,175.0,7:17:0N,36:13:0E
2015-01-26,0.485,175.0,7:17:0N,36:13:0E
2015-01-27,0.485,175.0,7:17:0N,36:13:0E
2015-01-28,0.485,175.0,7:17:0N,36:13:0E
2015-01-29,0.485,175.0,7:17:0N,36:13:0E
2015-01-30,0.485,175.0,7:17:0N,36:13:0E
2015-01-31,0.451,175.0,7:17:0N,36:13:0E
2016-01-01,1.726,175.0,7:17:0N,36:13:0E
2016-01-02,1.819,175.0,7:17:0N,36:13:0E
2016-01-03,1.9140000000000001,175.0,7:17:0N,36:13:0E
2016-01-04,1.9140000000000001,175.0,7:17:0N,36:13:0E
2016-01-05,1.9140000000000001,175.0,7:17:0N,36:13:0E
2016-01-06,1.819,175.0,7:17:0N,36:13:0E
2016-01-07,1.819,175.0,7:17:0N,36:13:0E
2016-01-08,1.819,175.0,7:17:0N,36:13:0E
2016-01-09,1.7719999999999998,175.0,7:17:0N,36:13:0E
2016-01-10,1.726,175.0,7:17:0N,36:13:0E
2016-01-11,1.679,175.0,7:17:0N,36:13:0E
2016-01-12,1.726,175.0,7:17:0N,36:13:0E
2016-01-13,1.7719999999999998,175.0,7:17:0N,36:13:0E
2016-01-14,1.726,175.0,7:17:0N,36:13:0E
2016-01-15,1.633,175.0,7:17:0N,36:13:0E
2016-01-16,1.587,175.0,7:17:0N,36:13:0E
2016-01-17,1.587,175.0,7:17:0N,36:13:0E
2016-01-18,1.587,175.0,7:17:0N,36:13:0E
2016-01-19,1.5419999999999998,175.0,7:17:0N,36:13:0E
2016-01-20,1.496,175.0,7:17:0N,36:13:0E
2016-01-21,1.496,175.0,7:17:0N,36:13:0E
2016-01-22,1.4509999999999998,175.0,7:17:0N,36:13:0E
2016-01-23,1.4509999999999998,175.0,7:17:0N,36:13:0E
2016-01-24,1.4069999999999998,175.0,7:17:0N,36:13:0E
2016-01-25,1.3619999999999999,175.0,7:17:0N,36:13:0E
2016-01-26,1.319,175.0,7:17:0N,36:13:0E
2016-01-27,1.275,175.0,7:17:0N,36:13:0E
2016-01-28,1.232,175.0,7:17:0N,36:13:0E
2016-01-29,1.189,175.0,7:17:0N,36:13:0E
2016-01-30,1.189,175.0,7:17:0N,36:13:0E
2016-01-31,1.146,175.0,7:17:0N,36:13:0E
2017-01-01,0.628,175.0,7:17:0N,36:13:0E
2017-01-02,0.628,175.0,7:17:0N,36:13:0E
2017-01-03,0.628,175.0,7:17:0N,36:13:0E
