date,discharge(cumecs),area(sq km),latitude,longitude
2015-01-11,4.696000000000001,2966.0,7:45:0N,37:11:0E
2015-01-12,4.696000000000001,2966.0,7:45:0N,37:11:0E
2015-01-13,4.696000000000001,2966.0,7:45:0N,37:11:0E
2015-01-14,4.696000000000001,2966.0,7:45:0N,37:11:0E
2015-01-15,4.696000000000001,2966.0,7:45:0N,37:11:0E
2015-01-16,4.696000000000001,2966.0,7:45:0N,37:11:0E
2015-01-17,4.696000000000001,2966.0,7:45:0N,37:11:0E
2015-01-18,4.696000000000001,2966.0,7:45:0N,37:11:0E
2015-01-19,4.457,2966.0,7:45:0N,37:11:0E
2015-01-20,4.457,2966.0,7:45:0N,37:11:0E
2015-01-21,4.457,2966.0,7:45:0N,37:11:0E
2015-01-22,4.457,2966.0,7:45:0N,37:11:0E
2015-01-23,4.226,2966.0,7:45:0N,37:11:0E
2015-01-24,4.226,2966.0,7:45:0N,37:11:0E
2015-01-25,4.226,2966.0,7:45:0N,37:11:0E
2015-01-26,4.226,2966.0,7:45:0N,37:11:0E
2015-01-27,4.001,2966.0,7:45:0N,37:11:0E
2015-01-28,3.782,2966.0,7:45:0N,37:11:0E
2015-01-29,3.571,2966.0,7:45:0N,37:11:0E
2015-01-30,3.571,2966.0,7:45:0N,37:11:0E
2015-01-31,3.365,2966.0,7:45:0N,37:11:0E
2016-01-01,9.786,2966.0,7:45:0N,37:11:0E
2016-01-02,9.431000000000001,2966.0,7:45:0N,37:11:0E
2016-01-03,9.431000000000001,2966.0,7:45:0N,37:11:0E
2016-01-04,9.786,2966.0,7:45:0N,37:11:0E
2016-01-05,10.148,2966.0,7:45:0N,37:11:0E
2016-01-06,10.517000000000001,2966.0,7:45:0N,37:11:0E
2016-01-07,10.517000000000001,2966.0,7:45:0N,37:11:0E
2016-01-08,10.892999999999999,2966.0,7:45:0N,37:11:0E
2016-01-09,11.276,2966.0,7:45:0N,37:11:0E
2016-01-10,11.665999999999999,2966.0,7:45:0N,37:11:0E
2016-01-11,11.276,2966.0,7:45:0N,37:11:0E
2016-01-12,10.148,2966.0,7:45:0N,37:11:0E
2016-01-13,9.786,2966.0,7:45:0N,37:11:0E
2016-01-14,9.083,2966.0,7:45:0N,37:11:0E
2016-01-15,8.408999999999999,2966.0,7:45:0N,37:11:0E
2016-01-16,8.082,2966.0,7:45:0N,37:11:0E
2016-01-17,7.7620000000000005,2966.0,7:45:0N,37:11:0E
2016-01-18,7.7620000000000005,2966.0,7:45:0N,37:11:0E
2016-01-19,7.7620000000000005,2966.0,7:45:0N,37:11:0E
2016-01-20,7.449,2966.0,7:45:0N,37:11:0E
2016-01-21,7.449,2966.0,7:45:0N,37:11:0E
2016-01-22,7.143,2966.0,7:45:0N,37:11:0E
2016-01-23,7.143,2966.0,7:45:0N,37:11:0E
2016-01-24,6.843999999999999,2966.0,7:45:0N,37:11:0E
2016-01-25,6.843999999999999,2966.0,7:45:0N,37:11:0E
2016-01-26,6.843999999999999,2966.0,7:45:0N,37:11:0E
2016-01-27,6.551,2966.0,7:45:0N,37:11:0E
2016-01-28,6.551,2966.0,7:45:0N,37:11:0E
2016-01-29,6.551,2966.0,7:45:0N,37:11:0E
2016-01-30,6.266,2966.0,7:45:0N,37:11:0E
2016-01-31,6.266,2966.0,7:45:0N,37:11:0E
2017-01-01,3.782,2966.0,7:45:0N,37:11:0E
2017-01-02,3.782,2966.0,7:45:0N,37:11:0E
2017-01-03,3.571,2966.0,7:45:0N,37:11:0E
2017-01-04,3.571,2966.0,7:45:0N,37:11:0E
2017-01-05,3.571,2966.0,7:45:0N,37:11:0E
2017-01-06,3.167,2966.0,7:45:0N,37:11:0E
2017-01-07,3.167,2966.0,7:45:0N,37:11:0E
2017-01-08,3.167,2966.0,7:45:0N,37:11:0E
2017-01-09,3.167,2966.0,7:45:0N,37:11:0E
2017-01-10,3.167,2966.0,7:45:0N,37:11:0E
2017-01-11,3.167,2966.0,7:45:0N,37:11:0E
2017-01-12,3.167,2966.0,7:45:0N,37:11:0E
2017-01-13,3.167,2966.0,7:45:0N,37:11:0E
2017-01-14,2.9739999999999998,2966.0,7:45:0N,37:11:0E
2017-01-15,2.9739999999999998,2966.0,7:45:0N,37:11:0E
2017-01-16,2.9739999999999998,2966.0,7:45:0N,37:11:0E
2017-01-17,2.9739999999999998,2966.0,7:45:0N,37:11:0E
2017-01-18,2.9739999999999998,2966.0,7:45:0N,37:11:0E
2017-01-19,2.7889999999999997,2966.0,7:45:0N,37:11:0E
2017-01-20,2.7889999999999997,2966.0,7:45:0N,37:11:0E
